codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A001,01/01/2018,22,19.9,21.5,19.7,83,83,72,17.0,17.9,15.4,884.9,885.3,884.4,2.7,17,6.4,78.44,0.0
A001,01/01/2018,03,21.2,21.3,20.5,81,85,81,17.9,18.2,17.8,888.1,888.6,888.1,1.5,120,2.8,-3.27,0.0
A001,01/01/2018,21,21.5,22.4,21.5,80,84,76,18.0,19.0,17.9,884.4,884.7,884.3,3.2,13,5.4,165.5,0.0
A001,01/01/2018,23,19.4,20.1,19.4,86,87,83,17.0,17.7,17.0,885.6,885.6,884.9,4.1,352,6.3,-3.28,0.0
A001,01/01/2018,16,24.6,25.2,21.7,69,88,59,18.6,20.1,16.6,886.9,888.0,886.8,2.0,120,4.3,1633.,2.6
A001,01/01/2018,20,22.3,22.5,21.3,79,85,73,18.4,19.0,17.4,884.4,884.4,884.1,1.5,104,3.0,417.7,0.0
A001,01/01/2018,11,22.7,22.7,20.5,79,92,78,18.8,20.2,18.5,888.3,888.3,887.9,0.7,151,2.1,809.9,0.0
A001,01/01/2018,12,23.4,23.9,22.6,76,80,74,18.9,19.7,18.5,888.9,888.9,888.3,0.8,180,1.8,953.8,0.0
A001,01/01/2018,01,21.8,21.9,21.5,79,83,78,17.9,18.5,17.9,888.2,888.3,887.8,1.3,135,2.8,-3.14,0.0
A001,01/01/2018,13,24.2,24.7,23.5,69,78,67,18.1,19.4,17.7,889.0,889.0,888.9,1.3,228,3.5,1316.,0.0
A001,01/01/2018,07,20.1,20.1,19.8,91,91,89,18.5,18.5,18.0,886.5,886.6,886.2,0.4,93,1.2,-3.44,0.0
A001,01/01/2018,14,25.6,26.3,24.1,61,69,59,17.4,19.3,17.2,888.4,889.0,888.4,1.8,160,4.1,2859.,0.2
A001,01/01/2018,15,22.5,26.0,22.5,83,83,57,19.5,19.5,16.6,888.0,888.5,888.0,1.7,326,5.0,824.0,2.6
A001,01/01/2018,00,21.8,21.8,21.6,79,81,78,18.0,18.2,17.7,887.8,887.8,887.1,1.6,117,4.0,-3.22,0.0
A001,01/01/2018,10,20.5,20.5,19.6,92,93,92,19.2,19.2,18.3,887.9,887.9,887.5,0.2,308,1.3,146.3,0.0
A001,01/01/2018,04,20.9,21.2,20.7,81,84,81,17.4,18.2,17.4,887.4,888.1,887.4,1.2,133,2.8,-3.53,0.0
A001,01/01/2018,19,21.3,21.3,20.7,86,88,82,18.8,19.1,18.1,884.2,885.1,884.2,1.6,131,3.8,373.0,2.2
A001,01/01/2018,05,20.5,20.9,19.9,87,88,81,18.1,18.2,17.3,886.4,887.4,886.4,0.9,134,2.0,-3.54,0.0
A001,01/01/2018,18,20.9,22.1,20.3,85,87,80,18.2,19.2,17.5,885.1,886.0,885.1,1.5,138,6.0,446.7,5.0
A001,01/01/2018,06,20.0,20.6,19.9,90,90,86,18.2,18.3,17.8,886.3,886.4,886.1,0.6,127,1.5,-3.21,0.0
A001,01/01/2018,17,22.2,24.5,22.2,82,82,69,18.9,19.9,18.0,886.0,886.9,886.0,1.4,100,6.3,1016.,3.6
A001,01/01/2018,08,20.0,20.4,19.7,91,91,89,18.5,18.6,18.1,886.8,886.8,886.5,1.4,83,1.9,-3.02,0.0
A001,01/01/2018,02,20.8,21.8,20.8,83,83,78,17.8,18.1,17.7,888.5,888.5,888.2,0.4,131,2.1,-3.49,0.0
A001,01/01/2018,09,19.6,20.2,19.6,92,92,90,18.3,18.7,18.3,887.5,887.5,886.8,0.5,335,2.3,-0.62,0.0
A001,02/01/2018,05,19.1,19.6,19.1,92,92,90,17.8,18.3,17.7,885.4,885.9,885.4,0.6,227,2.9,-2.54,0.0
A001,02/01/2018,03,19.5,19.5,19.2,92,92,91,18.1,18.1,17.8,886.3,886.6,886.3,0.5,6,1.9,-2.72,0.0
A001,02/01/2018,04,19.6,19.8,19.3,90,92,89,17.8,18.3,17.6,885.9,886.3,885.9,0.9,41,2.6,-2.71,0.2
A001,02/01/2018,06,18.7,19.2,18.6,93,93,92,17.5,17.8,17.4,884.9,885.4,884.9,0.7,156,1.7,-3.34,0.0
